latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
40.71577,-73.9553,3.0,11.0,0.87,1.0,1.0
40.84917,-73.94048,2.0,2.0,0.16,1.0,0.0
40.68993,-73.95947,2.0,0.0,0.10400000000000001,2.0,0.0
40.68427,-73.93118,3.0,87.0,4.91,1.0,267.0
40.74705,-73.89564,5.0,13.0,0.25,1.0,0.0
40.76354,-73.99283,30.0,3.0,0.21,31.0,270.0
40.76786,-73.95639,7.0,1.0,1.0,1.0,43.0
40.73316,-74.00476,1.0,42.0,1.32,1.0,4.0
40.72527,-73.94803,1.0,0.0,0.088,1.0,0.0
40.6752,-73.94366,1.0,0.0,0.052000000000000005,1.0,0.0
40.729,-73.98098,30.0,6.0,0.24,9.0,150.0
40.76193,-73.98573,30.0,0.0,0.23399999999999999,65.0,338.0
40.69867,-73.91968,1.0,0.0,1.342,5.0,329.0
40.7233,-73.97882,1.0,4.0,0.61,1.0,0.0
40.68906,-73.98983,30.0,1.0,1.0,2.0,63.0
40.7479,-73.87496,1.0,0.0,0.826,2.0,170.0
40.70218,-73.93034,3.0,3.0,0.48,1.0,0.0
40.69265,-73.97009,3.0,95.0,1.51,2.0,112.0
40.79865,-73.95295,1.0,0.0,0.6739999999999999,5.0,281.0
40.60111,-73.95702,2.0,7.0,3.82,1.0,124.0
40.80485,-73.9581,30.0,0.0,0.11800000000000002,7.0,364.0
40.75644,-73.82875,2.0,1.0,0.16,1.0,0.0
40.71588,-73.94297,14.0,4.0,0.12,1.0,0.0
40.6844,-73.9358,2.0,51.0,5.03,1.0,89.0
40.8469,-73.94522,4.0,14.0,0.23,3.0,0.0
40.75068,-73.87739,2.0,5.0,2.5,1.0,57.0
40.6873,-73.97225,2.0,1.0,0.02,1.0,0.0
40.68515,-73.97381,2.0,15.0,1.91,1.0,41.0
40.66145,-73.96005,10.0,1.0,0.02,1.0,0.0
40.72713,-73.94141,30.0,7.0,0.12,52.0,327.0
40.72656,-73.98758,2.0,16.0,5.78,1.0,52.0
40.68055,-73.78263,1.0,0.0,0.484,1.0,180.0
40.74476,-73.9755,15.0,0.0,0.06200000000000001,1.0,0.0
40.68634,-73.96161,2.0,58.0,0.61,6.0,199.0
40.83571,-73.94179,1.0,1.0,1.0,5.0,364.0
40.69423,-73.91993,2.0,3.0,0.12,1.0,0.0
40.71972,-73.94462,30.0,5.0,0.42,8.0,161.0
40.85798,-73.92855,7.0,0.0,0.31399999999999995,1.0,67.0
40.65468,-73.95703,3.0,3.0,0.08,1.0,0.0
40.72084,-73.9554,2.0,4.0,0.58,1.0,0.0
40.72317,-73.99084,14.0,0.0,0.036,1.0,0.0
40.72367,-73.98401,3.0,0.0,0.032,1.0,0.0
40.73326,-74.00604,3.0,16.0,0.26,1.0,0.0
40.68585,-73.94875,2.0,27.0,0.78,1.0,339.0
40.77906,-73.91265,3.0,38.0,0.62,1.0,243.0
40.80273,-73.91519,4.0,9.0,3.97,3.0,124.0
40.77372,-73.94803,5.0,7.0,0.15,1.0,341.0
40.73561,-73.95873,3.0,3.0,0.48,1.0,42.0
